,header_tokens,msg_tokens
0,"['2015-10-19', ' ', '14:24:56,892', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '13', ' ', 'on', ' ', '39673', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445182159119_0004_m_000000_0', ' ', 'is', ' ', ':', ' ', '0.54488474']"
1,"['2015-10-17', ' ', '18:14:07,105', ' ', 'INFO']","[' ', '[', 'AsyncDispatcher', ' ', 'event', ' ', 'handler', ']', ' ', 'org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl', ':', ' ', 'Task', ' ', 'succeeded', ' ', 'with', ' ', 'attempt', ' ', 'attempt_1445076437777_0004_m_000004_0']"
2,"['2015-10-17', ' ', '17:13:41,348', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '24', ' ', 'on', ' ', '19911', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445062781478_0018_r_000000_1000', ' ', 'is', ' ', ':', ' ', '0.3']"
3,"['2015-10-17', ' ', '15:38:06,121', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '14', ' ', 'on', ' ', '47468', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'JVM', ' ', 'with', ' ', 'ID', ':', ' ', 'jvm_1445062781478_0011_m_000008', ' ', 'given', ' ', 'task', ':', ' ', 'attempt_1445062781478_0011_m_000006_0']"
4,"['2015-10-19', ' ', '14:21:53,330', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '20', ' ', 'on', ' ', '49792', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445182159119_0002_m_000001_0', ' ', 'is', ' ', ':', ' ', '0.13102192']"
5,"['2015-10-19', ' ', '15:57:29,070', ' ', 'INFO']","[' ', '[', 'main', ']', ' ', 'org.apache.hadoop.mapred.MapTask', ':', ' ', 'Processing', ' ', 'split', ':', ' ', 'hdfs://msra-sa-41:9000/pageinput2.txt', ':', '805306368+134217728']"
6,"['2015-10-17', ' ', '23:21:14,996', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '29', ' ', 'on', ' ', '19304', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445094324383_0002_m_000004_0', ' ', 'is', ' ', ':', ' ', '0.34742972']"
7,"['2015-10-17', ' ', '18:17:18,110', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '24', ' ', 'on', ' ', '53665', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445076437777_0003_r_000000_0', ' ', 'is', ' ', ':', ' ', '0.8764551']"
8,"['2015-10-18', ' ', '21:41:33,614', ' ', 'ERROR']","[' ', '[', 'RMCommunicator', ' ', 'Allocator', ']', ' ', 'org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator', ':', ' ', 'ERROR', ' ', 'IN', ' ', 'CONTACTING', ' ', 'RM', '.', ' ']"
9,"['2015-10-17', ' ', '15:53:36,023', ' ', 'INFO']","[' ', '[', 'main', ']', ' ', 'org.apache.hadoop.mapred.YarnChild', ':', ' ', 'Kind', ':', ' ', 'mapreduce.job', ',', ' ', 'Service', ':', ' ', 'job_1445062781478_0013', ',', ' ', 'Ident', ':', ' ', '(', 'org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier', '@', '1623b78d', ')']"
10,"['2015-10-18', ' ', '18:07:30,627', ' ', 'ERROR']","[' ', '[', 'RMCommunicator', ' ', 'Allocator', ']', ' ', 'org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator', ':', ' ', 'ERROR', ' ', 'IN', ' ', 'CONTACTING', ' ', 'RM', '.', ' ']"
11,"['2015-10-19', ' ', '14:32:18,484', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '6', ' ', 'on', ' ', '39673', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445182159119_0004_r_000000_0', ' ', 'is', ' ', ':', ' ', '0.26666668']"
12,"['2015-10-17', ' ', '17:00:35,680', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '10', ' ', 'on', ' ', '61655', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'MapCompletionEvents', ' ', 'request', ' ', 'from', ' ', 'attempt_1445062781478_0017_r_000000_0', '.', ' ', 'startIndex', ' ', '7', ' ', 'maxEvents', ' ', '10000']"
13,"['2015-10-18', ' ', '18:07:13,267', ' ', 'WARN']","[' ', '[', 'LeaseRenewer', ':', 'msrabi', '@', 'msra-sa-41:9000', ']', ' ', 'org.apache.hadoop.hdfs.LeaseRenewer', ':', ' ', 'Failed', ' ', 'to', ' ', 'renew', ' ', 'lease', ' ', 'for', ' ', '[', 'DFSClient_NONMAPREDUCE_1537864556_1', ']', ' ', 'for', ' ', '135', ' ', 'seconds', '.', ' ', ' ', 'Will', ' ', 'retry', ' ', 'shortly', ' ', '...']"
14,"['2015-10-19', ' ', '16:02:16,114', ' ', 'INFO']","[' ', '[', 'ContainerLauncher', ' ', '#3', ']', ' ', 'org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy', ':', ' ', 'Opening', ' ', 'proxy', ' ', ':', ' ', 'MSRA-SA-39.fareast.corp.microsoft.com', ':', '28345']"
15,"['2015-10-19', ' ', '15:50:54,425', ' ', 'INFO']","[' ', '[', 'AsyncDispatcher', ' ', 'event', ' ', 'handler', ']', ' ', 'org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl', ':', ' ', 'Diagnostics', ' ', 'report', ' ', 'from', ' ', 'attempt_1445182159119_0012_m_000009_0', ':', ' ', 'Container', ' ', 'killed', ' ', 'by', ' ', 'the', ' ', 'ApplicationMaster.']"
16,"['2015-10-19', ' ', '18:01:47,104', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '10', ' ', 'on', ' ', '64927', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'MapCompletionEvents', ' ', 'request', ' ', 'from', ' ', 'attempt_1445182159119_0018_r_000000_1000', '.', ' ', 'startIndex', ' ', '9', ' ', 'maxEvents', ' ', '10000']"
17,"['2015-10-17', ' ', '15:38:40,550', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '22', ' ', 'on', ' ', '49470', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445062781478_0013_m_000004_0', ' ', 'is', ' ', ':', ' ', '0.05601466']"
18,"['2015-10-18', ' ', '18:21:04,810', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '15', ' ', 'on', ' ', '30358', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445144423722_0023_m_000007_1001', ' ', 'is', ' ', ':', ' ', '0.620844']"
19,"['2015-10-19', ' ', '15:50:57,616', ' ', 'INFO']","[' ', '[', 'main', ']', ' ', 'org.apache.hadoop.mapred.YarnChild', ':', ' ', 'Executing', ' ', 'with', ' ', 'tokens:']"
20,"['2015-10-18', ' ', '18:08:28,662', ' ', 'ERROR']","[' ', '[', 'RMCommunicator', ' ', 'Allocator', ']', ' ', 'org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator', ':', ' ', 'ERROR', ' ', 'IN', ' ', 'CONTACTING', ' ', 'RM', '.', ' ']"
21,"['2015-10-17', ' ', '21:51:27,108', ' ', 'INFO']","[' ', '[', 'RMCommunicator', ' ', 'Allocator', ']', ' ', 'org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator', ':', ' ', 'Assigned', ' ', 'container', ' ', 'container_1445087491445_0005_01_000026', ' ', 'to', ' ', 'attempt_1445087491445_0005_m_000006_2']"
22,"['2015-10-17', ' ', '17:05:11,552', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '20', ' ', 'on', ' ', '61655', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'MapCompletionEvents', ' ', 'request', ' ', 'from', ' ', 'attempt_1445062781478_0017_r_000000_0', '.', ' ', 'startIndex', ' ', '7', ' ', 'maxEvents', ' ', '10000']"
23,"['2015-10-18', ' ', '18:04:41,332', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '11', ' ', 'on', ' ', '29630', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'MapCompletionEvents', ' ', 'request', ' ', 'from', ' ', 'attempt_1445144423722_0022_r_000000_0', '.', ' ', 'startIndex', ' ', '4', ' ', 'maxEvents', ' ', '10000']"
24,"['2015-10-17', ' ', '21:43:26,612', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '18', ' ', 'on', ' ', '56794', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445087491445_0004_r_000000_0', ' ', 'is', ' ', ':', ' ', '0.93167996']"
25,"['2015-10-17', ' ', '21:31:27,566', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '19', ' ', 'on', ' ', '30954', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445087491445_0003_m_000008_1', ' ', 'is', ' ', ':', ' ', '0.8903598']"
26,"['2015-10-19', ' ', '15:51:52,014', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '3', ' ', 'on', ' ', '4824', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445182159119_0012_m_000008_0', ' ', 'is', ' ', ':', ' ', '0.76654583']"
27,"['2015-10-17', ' ', '23:48:34,359', ' ', 'INFO']","[' ', '[', 'IPC', ' ', 'Server', ' ', 'handler', ' ', '7', ' ', 'on', ' ', '25280', ']', ' ', 'org.apache.hadoop.mapred.TaskAttemptListenerImpl', ':', ' ', 'Progress', ' ', 'of', ' ', 'TaskAttempt', ' ', 'attempt_1445094324383_0005_r_000000_2', ' ', 'is', ' ', ':', ' ', '0.9144767']"
28,"['2015-10-17', ' ', '17:15:33,561', ' ', 'INFO']","[' ', '[', 'ContainerLauncher', ' ', '#0', ']', ' ', 'org.apache.hadoop.ipc.Client', ':', ' ', 'Retrying', ' ', 'connect', ' ', 'to', ' ', 'server', ':', ' ', 'MININT-75DGDAM1.fareast.corp.microsoft.com/10.86.165.66:51951', '.', ' ', 'Already', ' ', 'tried', ' ', '33', ' ', 'time', '(', 's', ')', ';', ' ', 'maxRetries', '=', '45']"
