,header_tokens,msg_tokens
0,"['[', 'Fri', ' ', 'Feb', ' ', '24', ' ', '17:07:21', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '85.214.20.161', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/cvs']"
1,"['[', 'Mon', ' ', 'Feb', ' ', '13', ' ', '11:28:06', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '206.161.193.98', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/blog']"
2,"['[', 'Tue', ' ', 'Jun', ' ', '28', ' ', '07:13:30', ' ', '2005', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '218.168.184.89', ']', ' ', 'Directory', ' ', 'index', ' ', 'forbidden', ' ', 'by', ' ', 'rule', ':', ' ', '/var/www/html/']"
3,"['[', 'Wed', ' ', 'Feb', ' ', '15', ' ', '02:12:47', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '202.99.219.250', ']', ' ', 'Directory', ' ', 'index', ' ', 'forbidden', ' ', 'by', ' ', 'rule', ':', ' ', '/var/www/html/']"
4,"['[', 'Fri', ' ', 'Feb', ' ', '03', ' ', '04:11:04', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '70.242.229.237', ']', ' ', 'Directory', ' ', 'index', ' ', 'forbidden', ' ', 'by', ' ', 'rule', ':', ' ', '/var/www/html/']"
5,"['[', 'Sun', ' ', 'Dec', ' ', '04', ' ', '04:42:21', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'workerEnv.init()', ' ', 'ok', ' ', '/etc/httpd/conf/workers2.properties']"
6,"['[', 'Tue', ' ', 'Nov', ' ', '29', ' ', '22:31:45', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'jk2_init()', ' ', 'Found', ' ', 'child', ' ', '5706', ' ', 'in', ' ', 'scoreboard', ' ', 'slot', ' ', '9']"
7,"['[', 'Fri', ' ', 'Dec', ' ', '02', ' ', '09:33:23', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'workerEnv.init()', ' ', 'ok', ' ', '/etc/httpd/conf/workers2.properties']"
8,"['[', 'Mon', ' ', 'Nov', ' ', '28', ' ', '22:21:06', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'jk2_init()', ' ', 'Found', ' ', 'child', ' ', '32232', ' ', 'in', ' ', 'scoreboard', ' ', 'slot', ' ', '8']"
9,"['[', 'Sun', ' ', 'Nov', ' ', '27', ' ', '18:55:46', ' ', '2005', ']', ' ', '[', 'error', ']']","[' ', 'mod_jk', ' ', 'child', ' ', 'workerEnv', ' ', 'in', ' ', 'error', ' ', 'state', ' ', '5']"
10,"['[', 'Tue', ' ', 'Jan', ' ', '24', ' ', '12:52:14', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '211.99.203.228', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/blog']"
11,"['[', 'Tue', ' ', 'Nov', ' ', '15', ' ', '12:48:08', ' ', '2005', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '201.6.53.88', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/stat-cgi']"
12,"['[', 'Thu', ' ', 'Jul', ' ', '21', ' ', '03:37:26', ' ', '2005', ']', ' ', '[', 'error', ']']","[' ', 'mod_jk', ' ', 'child', ' ', 'init', ' ', '1', ' ', '-2']"
13,"['[', 'Fri', ' ', 'Jun', ' ', '10', ' ', '11:32:39', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'workerEnv.init()', ' ', 'ok', ' ', '/etc/httpd/conf/workers2.properties']"
14,"['[', 'Sun', ' ', 'Feb', ' ', '12', ' ', '04:29:48', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '81.245.141.174', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/cache']"
15,"['[', 'Thu', ' ', 'Jul', ' ', '21', ' ', '03:37:57', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'mod_jk2', ' ', 'Shutting', ' ', 'down']"
16,"['[', 'Fri', ' ', 'Feb', ' ', '17', ' ', '23:31:44', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '64.214.80.6', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/cvs']"
17,"['[', 'Fri', ' ', 'Jan', ' ', '20', ' ', '08:19:31', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '64.236.104.1', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/blog']"
18,"['[', 'Thu', ' ', 'Nov', ' ', '17', ' ', '19:16:03', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'jk2_init()', ' ', 'Found', ' ', 'child', ' ', '6968', ' ', 'in', ' ', 'scoreboard', ' ', 'slot', ' ', '1']"
19,"['[', 'Mon', ' ', 'Nov', ' ', '21', ' ', '15:26:25', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'jk2_init()', ' ', 'Found', ' ', 'child', ' ', '29339', ' ', 'in', ' ', 'scoreboard', ' ', 'slot', ' ', '4']"
20,"['[', 'Mon', ' ', 'Jan', ' ', '09', ' ', '10:21:50', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '68.96.18.125', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/wordpress']"
21,"['[', 'Tue', ' ', 'Dec', ' ', '06', ' ', '02:17:04', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'jk2_init()', ' ', 'Found', ' ', 'child', ' ', '7714', ' ', 'in', ' ', 'scoreboard', ' ', 'slot', ' ', '8']"
22,"['[', 'Mon', ' ', 'Nov', ' ', '21', ' ', '02:38:38', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'workerEnv.init()', ' ', 'ok', ' ', '/etc/httpd/conf/workers2.properties']"
23,"['[', 'Mon', ' ', 'Feb', ' ', '20', ' ', '05:05:44', ' ', '2006', ']', ' ', '[', 'notice', ']']","[' ', 'mod_jk2', ' ', 'Shutting', ' ', 'down']"
24,"['[', 'Sat', ' ', 'Jun', ' ', '11', ' ', '03:03:22', ' ', '2005', ']', ' ', '[', 'notice', ']']","[' ', 'mod_jk2', ' ', 'Shutting', ' ', 'down']"
25,"['[', 'Fri', ' ', 'Jan', ' ', '20', ' ', '05:37:33', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '81.219.87.4', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/phpgroupware']"
26,"['[', 'Fri', ' ', 'Nov', ' ', '18', ' ', '07:57:54', ' ', '2005', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '160.129.210.37', ']', ' ', 'Directory', ' ', 'index', ' ', 'forbidden', ' ', 'by', ' ', 'rule', ':', ' ', '/var/www/html/']"
27,"['[', 'Sat', ' ', 'Jan', ' ', '07', ' ', '10:54:31', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '63.119.15.54', ']', ' ', 'Directory', ' ', 'index', ' ', 'forbidden', ' ', 'by', ' ', 'rule', ':', ' ', '/var/www/html/']"
28,"['[', 'Fri', ' ', 'Feb', ' ', '10', ' ', '17:40:45', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '144.202.242.108', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/xmlsrv']"
29,"['[', 'Sun', ' ', 'Jan', ' ', '08', ' ', '16:35:46', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '61.134.40.151', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/phpgroupware']"
30,"['[', 'Mon', ' ', 'Feb', ' ', '20', ' ', '00:56:12', ' ', '2006', ']', ' ', '[', 'error', ']']","[' ', '[', 'client', ' ', '216.127.92.9', ']', ' ', 'File', ' ', 'does', ' ', 'not', ' ', 'exist', ':', ' ', '/var/www/html/drupal']"
31,"['[', 'Sat', ' ', 'Dec', ' ', '03', ' ', '07:36:50', ' ', '2005', ']', ' ', '[', 'error', ']']","[' ', 'mod_jk', ' ', 'child', ' ', 'workerEnv', ' ', 'in', ' ', 'error', ' ', 'state', ' ', '5']"
