,header_tokens,msg_tokens
0,"['17/06/08', ' ', '18:54:52', ' ', 'INFO', ' ', 'python.PythonRunner', ':', ' ']","['Times', ':', ' ', 'total', ' ', '=', ' ', '38', ',', ' ', 'boot', ' ', '=', ' ', '-13', ',', ' ', 'init', ' ', '=', ' ', '51', ',', ' ', 'finish', ' ', '=', ' ', '0']"
1,"['17/06/06', ' ', '21:09:55', ' ', 'INFO', ' ', 'YarnAllocator', ':', ' ']","['Launching', ' ', 'container', ' ', 'container_1485248649253_0086_02_000003', ' ', 'for', ' ', 'on', ' ', 'host', ' ', 'mesos-slave-11']"
2,"['17/06/08', ' ', '20:45:48', ' ', 'INFO', ' ', 'python.PythonRunner', ':', ' ']","['Times', ':', ' ', 'total', ' ', '=', ' ', '42', ',', ' ', 'boot', ' ', '=', ' ', '-15', ',', ' ', 'init', ' ', '=', ' ', '56', ',', ' ', 'finish', ' ', '=', ' ', '1']"
3,"['17/06/09', ' ', '11:55:24', ' ', 'INFO', ' ', 'executor.Executor', ':', ' ']","['Finished', ' ', 'task', ' ', '11.0', ' ', 'in', ' ', 'stage', ' ', '5252.0', ' ', '(', 'TID', ' ', '210534', ')', '.', ' ', '2364', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']"
4,"['17/06/09', ' ', '20:34:36', ' ', 'INFO', ' ', 'python.PythonRunner', ':', ' ']","['Times', ':', ' ', 'total', ' ', '=', ' ', '40', ',', ' ', 'boot', ' ', '=', ' ', '-72', ',', ' ', 'init', ' ', '=', ' ', '112', ',', ' ', 'finish', ' ', '=', ' ', '0']"
5,"['17/06/08', ' ', '21:38:50', ' ', 'INFO', ' ', 'executor.Executor', ':', ' ']","['Running', ' ', 'task', ' ', '35.0', ' ', 'in', ' ', 'stage', ' ', '18262.0', ' ', '(', 'TID', ' ', '730554', ')']"
6,"['17/02/01', ' ', '14:54:13', ' ', 'INFO', ' ', 'storage.ShuffleBlockFetcherIterator', ':', ' ']","['Started', ' ', '7', ' ', 'remote', ' ', 'fetches', ' ', 'in', ' ', '1', ' ', 'ms']"
7,"['17/06/09', ' ', '10:59:30', ' ', 'INFO', ' ', 'python.PythonRunner', ':', ' ']","['Times', ':', ' ', 'total', ' ', '=', ' ', '38', ',', ' ', 'boot', ' ', '=', ' ', '13', ',', ' ', 'init', ' ', '=', ' ', '25', ',', ' ', 'finish', ' ', '=', ' ', '0']"
8,"['17/06/10', ' ', '15:10:54', ' ', 'INFO', ' ', 'executor.Executor', ':', ' ']","['Running', ' ', 'task', ' ', '6.0', ' ', 'in', ' ', 'stage', ' ', '96.0', ' ', '(', 'TID', ' ', '1927', ')']"
9,"['17/06/09', ' ', '11:10:30', ' ', 'INFO', ' ', 'executor.CoarseGrainedExecutorBackend', ':', ' ']","['Got', ' ', 'assigned', ' ', 'task', ' ', '99090']"
10,"['17/06/06', ' ', '21:30:12', ' ', 'INFO', ' ', 'executor.Executor', ':', ' ']","['Running', ' ', 'task', ' ', '8.0', ' ', 'in', ' ', 'stage', ' ', '85.0', ' ', '(', 'TID', ' ', '3411', ')']"
11,"['17/06/09', ' ', '21:21:59', ' ', 'INFO', ' ', 'storage.BlockManager', ':', ' ']","['Found', ' ', 'block', ' ', 'rdd_4171_9', ' ', 'locally']"
12,"['17/06/10', ' ', '15:17:38', ' ', 'INFO', ' ', 'executor.CoarseGrainedExecutorBackend', ':', ' ']","['Got', ' ', 'assigned', ' ', 'task', ' ', '2759']"
13,"['17/03/23', ' ', '14:50:52', ' ', 'INFO', ' ', 'storage.MemoryStore', ':', ' ']","['Block', ' ', 'broadcast_5_piece253', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(', 'estimated', ' ', 'size', ' ', '4.0', ' ', 'MB', ',', ' ', 'free', ' ', '2.4', ' ', 'GB', ')']"
14,"['17/06/08', ' ', '16:56:55', ' ', 'INFO', ' ', 'executor.Executor', ':', ' ']","['Running', ' ', 'task', ' ', '24.0', ' ', 'in', ' ', 'stage', ' ', '137.0', ' ', '(', 'TID', ' ', '5496', ')']"
15,"['17/03/23', ' ', '15:17:16', ' ', 'INFO', ' ', 'storage.MemoryStore', ':', ' ']","['Block', ' ', 'broadcast_4_piece105', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(', 'estimated', ' ', 'size', ' ', '4.0', ' ', 'MB', ',', ' ', 'free', ' ', '3.3', ' ', 'GB', ')']"
16,"['17/06/09', ' ', '17:48:55', ' ', 'INFO', ' ', 'executor.Executor', ':', ' ']","['Running', ' ', 'task', ' ', '32.0', ' ', 'in', ' ', 'stage', ' ', '1391.0', ' ', '(', 'TID', ' ', '55715', ')']"
17,"['17/06/08', ' ', '21:35:08', ' ', 'INFO', ' ', 'storage.BlockManager', ':', ' ']","['Removing', ' ', 'RDD', ' ', '19720']"
18,"['17/06/09', ' ', '12:18:43', ' ', 'INFO', ' ', 'executor.CoarseGrainedExecutorBackend', ':', ' ']","['Got', ' ', 'assigned', ' ', 'task', ' ', '299945']"
19,"['17/06/07', ' ', '15:13:23', ' ', 'INFO', ' ', 'mapred.SparkHadoopMapRedUtil', ':', ' ']","['attempt_201706071513_0504_m_000004_20160', ':', ' ', 'Committed']"
20,"['17/06/09', ' ', '19:43:59', ' ', 'INFO', ' ', 'executor.CoarseGrainedExecutorBackend', ':', ' ']","['Got', ' ', 'assigned', ' ', 'task', ' ', '51307']"
21,"['17/06/10', ' ', '15:29:50', ' ', 'INFO', ' ', 'python.PythonRunner', ':', ' ']","['Times', ':', ' ', 'total', ' ', '=', ' ', '38', ',', ' ', 'boot', ' ', '=', ' ', '12', ',', ' ', 'init', ' ', '=', ' ', '26', ',', ' ', 'finish', ' ', '=', ' ', '0']"
22,"['17/06/09', ' ', '11:11:31', ' ', 'INFO', ' ', 'executor.CoarseGrainedExecutorBackend', ':', ' ']","['Got', ' ', 'assigned', ' ', 'task', ' ', '23339']"
